,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,isOpen,vwap
0,002230.XSHE,002230,科大讯飞,XSHE,2008-05-12,12.66,12.66,28.21,31.17,28.21,30.31,18212540,541669820.0,18825,0.8495,1.0,649846400.0,3248201460.0,1,29.742
1,002230.XSHE,002230,科大讯飞,XSHE,2008-05-13,30.31,30.31,30.45,33.34,30.41,33.34,4998231,159771424.0,4349,0.2331,1.0,714809600.0,3572914440.0,1,31.966
2,002230.XSHE,002230,科大讯飞,XSHE,2008-05-14,33.34,33.34,34.2,34.98,32.3,33.95,4922130,164265616.0,5486,0.2296,1.0,727888000.0,3638285700.0,1,33.373
3,002230.XSHE,002230,科大讯飞,XSHE,2008-05-15,33.95,33.95,33.45,35.9,33.45,34.0,4635873,160713648.0,4176,0.2162,1.0,728960000.0,3643644000.0,1,34.667
4,002230.XSHE,002230,科大讯飞,XSHE,2008-05-16,34.0,34.0,33.5,35.29,32.7,32.96,3477867,117697744.0,3610,0.1622,1.0,706662400.0,3532191360.0,1,33.842
5,002230.XSHE,002230,科大讯飞,XSHE,2008-05-19,32.96,32.96,33.49,36.26,33.05,36.26,2706178,94316536.0,2902,0.1262,1.0,777414400.0,3885839160.0,1,34.852
6,002230.XSHE,002230,科大讯飞,XSHE,2008-05-20,36.26,36.26,36.88,38.17,35.26,36.5,3350159,123501296.0,3821,0.1563,1.0,782560000.0,3911559000.0,1,36.864
7,002230.XSHE,002230,科大讯飞,XSHE,2008-05-21,36.5,36.5,36.7,37.0,34.8,36.85,2727333,98212400.0,2614,0.1272,1.0,790064000.0,3949067100.0,1,36.01
8,002230.XSHE,002230,科大讯飞,XSHE,2008-05-22,36.85,36.85,36.0,37.2,35.01,35.68,2299376,83469080.0,2025,0.1072,1.0,764979200.0,3823682880.0,1,36.301
9,002230.XSHE,002230,科大讯飞,XSHE,2008-05-23,35.68,35.68,35.08,37.63,35.08,37.4,2350531,86204256.0,2161,0.1096,1.0,801856000.0,4008008400.0,1,36.674
10,002230.XSHE,002230,科大讯飞,XSHE,2008-05-26,37.4,37.4,37.0,37.8,35.9,36.18,1072142,39240216.0,1242,0.05,1.0,775699200.0,3877265880.0,1,36.6
11,002230.XSHE,002230,科大讯飞,XSHE,2008-05-27,36.18,36.18,35.87,36.6,34.3,34.5,1002699,35070272.0,1350,0.0468,1.0,739680000.0,3697227000.0,1,34.976
12,002230.XSHE,002230,科大讯飞,XSHE,2008-05-28,34.5,34.5,34.56,35.8,33.51,35.0,898586,31234460.0,1052,0.0419,1.0,750400000.0,3750810000.0,1,34.76
13,002230.XSHE,002230,科大讯飞,XSHE,2008-05-29,35.0,35.0,34.6,36.5,34.4,36.19,837634,30003548.0,1132,0.0391,1.0,775913600.0,3878337540.0,1,35.819
14,002230.XSHE,002230,科大讯飞,XSHE,2008-05-30,36.19,36.19,35.8,37.18,35.8,36.69,807523,29505652.0,1064,0.0377,1.0,786633600.0,3931920540.0,1,36.538
