,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,negMarketValue,dealAmount,turnoverRate,accumAdjFactor,turnoverValue,marketValue,isOpen,vwap
0,002230.XSHE,002230,科大讯飞,XSHE,2008-05-12,0.937,12.66,2.087,2.306,2.087,2.242,235112509,649846400.0,18825,0.8495,0.07398206,541669820.0,3248201460.0,1,2.2
1,002230.XSHE,002230,科大讯飞,XSHE,2008-05-13,2.242,30.31,2.253,2.467,2.25,2.467,64524038,714809600.0,4349,0.2331,0.07398206,159771424.0,3572914440.0,1,2.365
2,002230.XSHE,002230,科大讯飞,XSHE,2008-05-14,2.467,33.34,2.53,2.588,2.39,2.512,63541622,727888000.0,5486,0.2296,0.07398206,164265616.0,3638285700.0,1,2.469
3,002230.XSHE,002230,科大讯飞,XSHE,2008-05-15,2.512,33.95,2.475,2.656,2.475,2.515,59846223,728960000.0,4176,0.2162,0.07398206,160713648.0,3643644000.0,1,2.565
4,002230.XSHE,002230,科大讯飞,XSHE,2008-05-16,2.515,34.0,2.478,2.611,2.419,2.438,44897089,706662400.0,3610,0.1622,0.07398206,117697744.0,3532191360.0,1,2.504
5,002230.XSHE,002230,科大讯飞,XSHE,2008-05-19,2.438,32.96,2.478,2.683,2.445,2.683,34935067,777414400.0,2902,0.1262,0.07398206,94316536.0,3885839160.0,1,2.578
6,002230.XSHE,002230,科大讯飞,XSHE,2008-05-20,2.683,36.26,2.728,2.824,2.609,2.7,43248459,782560000.0,3821,0.1563,0.07398206,123501296.0,3911559000.0,1,2.727
7,002230.XSHE,002230,科大讯飞,XSHE,2008-05-21,2.7,36.5,2.715,2.737,2.575,2.726,35208164,790064000.0,2614,0.1272,0.07398206,98212400.0,3949067100.0,1,2.664
8,002230.XSHE,002230,科大讯飞,XSHE,2008-05-22,2.726,36.85,2.663,2.752,2.59,2.64,29683507,764979200.0,2025,0.1072,0.07398206,83469080.0,3823682880.0,1,2.686
9,002230.XSHE,002230,科大讯飞,XSHE,2008-05-23,2.64,35.68,2.595,2.784,2.595,2.767,30343886,801856000.0,2161,0.1096,0.07398206,86204256.0,4008008400.0,1,2.713
10,002230.XSHE,002230,科大讯飞,XSHE,2008-05-26,2.767,37.4,2.737,2.797,2.656,2.677,13840683,775699200.0,1242,0.05,0.07398206,39240216.0,3877265880.0,1,2.708
11,002230.XSHE,002230,科大讯飞,XSHE,2008-05-27,2.677,36.18,2.654,2.708,2.538,2.552,12944217,739680000.0,1350,0.0468,0.07398206,35070272.0,3697227000.0,1,2.588
12,002230.XSHE,002230,科大讯飞,XSHE,2008-05-28,2.552,34.5,2.557,2.649,2.479,2.589,11600184,750400000.0,1052,0.0419,0.07398206,31234460.0,3750810000.0,1,2.572
13,002230.XSHE,002230,科大讯飞,XSHE,2008-05-29,2.589,35.0,2.56,2.7,2.545,2.677,10813331,775913600.0,1132,0.0391,0.07398206,30003548.0,3878337540.0,1,2.65
