datetime,600036,600639,cash,commission,total,returns,equity_curve,drawdown
2008-05-05,0.0,0.0,100000.0,0.0,100000.0,,,
2008-05-06,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-07,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-08,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-09,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-12,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-13,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-14,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-15,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-16,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-19,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-20,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-21,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-22,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-23,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-26,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-27,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-28,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-05-29,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-06-03,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-06-04,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-06-05,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-06-06,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-06-10,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-06-11,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-06-12,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-06-13,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2008-06-16,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
